PLUGIN_ID,NAME,SEGMENT_CALCD_VIEWS,PRODUCT_CALCD_VIEWS
1029193706520217608,lil weather,285,361
1029393128034896109,Color Luminance Manager,187,236
1030845409121640454,Poll,500,577
1034640024702900728,Restaurant Generator,2,8
1035291705532686747,data-populator,1,1
981906962740892997,Figma to Handoff,31,44
1039517642144861562,Bar chart,8,2
1040029907329459191,XamlStyles,9,2
846655443127332889,DevIntelligaia,5,91
954843735248920967,Bento Connect,2,104
994771512059692439,Rippling Data,17,569
1012696411878216233,Ginetta Color Shade Generator,19,324
1012261172866714611,NB Avatars,737,13129
973190264627852404,Zketch,136,3497
1008382434333520774,Palette From Image,436,8255
731256819936988594,Data,25,953
742121299910255177,RTL PLZ,9464,318863
738916553283875028,Copy and Paste Text,8945,330140
740559260731517035,PasteSVG,7751,281751
854373416569295199,BlackHidra,9,162
896592447574551206,Etsy Content,49,2373
862788173414241141,Coolors for Figma,10,195
751874861800404329,Smart Data,2981,121868
758250492778745937,text to line,5146,184900
793554027239179162,Asana for Figma (test),10,286
734492262527930956,Time Machine,13569,479196
743654854885744527,Responsify ⚡️,18514,659761
744047966581015514,Feather Icons,103710,3315090
746119250112750984,Spotify Content,153,4551
858441761536058510,Greenlines • Beta,2098,48345
749195619095691211,JSON Populate,4499,189929
762210076386791876,Render Math,1395,54667
765276421612114640,Numerator,2339,85907
768094929040207895,Logo Creator,63820,2273014
760366693039337764,❖ Converter: Dark Mode,147,3966
778556073965640991,Truncate,2836,104093
777919055291347154,"Round it! (by 8px, 10px, ...)",3655,137573
782063652295846647,Text Updater,1409,54546
803633147991628761,GiffyCanvas,23861,773701
781249575277228697,BUI Component Connect,12,396
797554210599914783,Calendar Maker,6961,236164
760927481606931799,Appearance,23785,764254
917851176894094065,🤖 BNCH Workflow,15,460
802555101361690489,Crowdin for Figma,3578,124982
794829197801903069,TinyCanvas,5322,187989
791989050714284849,Presentator Export,2708,104794
816329785694858088,Geometric,22121,747930
819688895973707151,Crypto Password Protection,9766,341665
819233694689495376,Polaris for Retail Themes,48,1316
829600967683738518,Project Generator [Cars LoB],6,251
828388604797358819,Show + Tell,4095,206439
831936445397604629,Many Paster,3816,153073
837804496927006007,Codenames Generator,147,17913
837720590961580321,DesignKit,4027,94912
824289601590456356,Breakpoints,62052,2257958
963455180858215304,YC Cubes,12,453
855719871403260622,Spell Inspector,6915,236633
865442997815329110,DO NOT USE 😎 staging,111,2504
850844715907397375,Unsplash Filler,255,5046
880520575517390750,TextNeon,6192,203654
889140584984701292,Convertify Figma to Sketch/XD,2,45
903167004921142962,Design Token Dock / 样式导出工具,486,19913
903918530091878418,copyStructure,205,11042
921172243620367846,Import React-Icons,1945,56533
907822023994821459,low-code-marker,2,126
961270034818256057,Jitter · Animate your Figma designs,29811,2060273
916305433661854754,Reflow - staging,9,182
928704012793989750,Super Ellipse,13,352
969291006269302686,test,8,260
963784695111531533,Simi,23,566
937579386381611447,Link Preview,1809,57376
946842982621217865,Testy test test test (Fluent Theme Designer),10,285
954385914995672316,YC Cubes α,4,100
961003645772937312,QPallete Linter,241,7339
966762391185502232,figma-to-ads,24,583
979711824588836289,Douyin Design Toolkit,8,304
994888066621439419,Easy URL,611,14303
768671547563304036,Reset Text Layer Name,1859,71329
775716538746765221,Pixels,8275,278393
780000661582724634,Rotate Origin,6702,227527
804429580708080739,Design Lint,246,7433
919271598142496265,Tidy Components,2119,69065
820118309664775643,Detach Master,9765,302752
818203235789864127,Batch Styler,26450,864494
825603645067095312,Text From Image,4275,403141
825035117970341061,AutoLayout Generator,7,271
828369538131347166,Status labels,15,417
821332600744600187,Design Checklist by Intelligaia,21,517
841846096460383332,Native App Toolkit,14,469
842218926601057475,Stadia Data,80,2831
844980111891984132,AEUX,12,265
849390271196300773,Live Preview,5218,178029
855655237472027323,Devstimates,1287,41808
856130306757736209,Handz 3D Illustration,33875,1028430
859060144551014618,Auto Layout Sorter,3291,102868
862393973223952152,Deck - BETA,29,728
860295317169086934,Paperify -> Paper Prototype final design,150,3731
893890249436355073,Colors to Variables,2377,89549
855094377636145678,HaCon Figma Plugin,11,454
879154544908874110,emotivote - part 1,16,158
991359709766887807,Slide Array,10,269
879946567100905085,QR Code Swapper,3,127
889856823267627662,TEMPLATE & TABLE GENERATOR FROM API,2845,98342
840775213530328959,Tonic - Design Tokens,36,994
862039267149408972,Quest - Figma to HTML Page,18567,568767
883725668359625841,Excelerate,33,914
887243243437608411,BlendingMe,18712,599395
893898815372491269,Frontify,5482,180827
903667002703697828,Populate,8,274
910385004596112467,Multilingual Font Mixer 多语言字体混排,1505,47517
897751632843210903,icon-transfor,1256,37812
887434203824849488,Loofa,63,1722
915970564057877340,Dr. Oetker Recipes,26,627
900754864381713995,Speedboat,1359,55389
936338032097059946,Color Step Creator,18,572
923820065156924054,Warp It,12088,363581
921299848173592076,Font Mixer for Thai supported,6,178
908303483495091267,Layer Styles,3572,132449
924075028437575467,QA Tester - Icons,5,189
921833841362857785,ExportCSS,8,251
929095073272062772,Brandfolder,721,23881
931119099439050503,COD 抽抽乐,13,543
933217451832667093,Save SVG to Wiki (SMS-IT),34,1399
936657680752625863,Plugin book v3.2,3,79
937760472566581732,Figmap,8587,271801
944029461433439443,Specter (BETA),18,808
917124929990418850,Chatbot Markdown,14,640
943866824124229786,Wrike Figma Theme Switcher,21,634
923920906926961367,Pick GoDaddy Theme,26,775
954021564250730610,Dynamic Data,2837,90713
957206575424182325,Viaplay Image Library,3,38
941336520474170939,Moodz,713,26304
956956499987342311,Viaplay Image Library,1,145
966039965924270828,Coherence checker,27,694
963494317809547161,kwanamaker-testing-6,1,28
965212465342261767,翻页器,13,428
961732653399887186,Clean handoff,1338,39687
966041915029524206,YC Cubes,66,1688
966291261554174793,Spreadsheet Sync (Altar.io),1383,33631
943481730946882607,HDS Harp Map Capture,47,1303
982204377019408825,CAS Browser Plugin,42,649
994211520901020912,Components Mark,4,116
973141935723343978,Fast Slice,386,9029
986586503212926817,Pyro 2.0,3,26
996397636482173732,RingPlatformConverter,5,155
984087548760456269,Size Generator,3,187
1006588274828769747,Lever - A Revel File Starter,14,214
1005496056687344906,html-to-figma DEV-plugin,1545,28897
988836825341227586,Draw Connector,10362,270255
1003000718170427134,Figment.so,977,28521
1006908263044642341,Noodl,383,10703
1015688559385767198,Language Tester,1,37
969188894063883111,Moodagent Lineup,15,465
1022188984757212556,Lilt Figma Connector,4,131
1024974881256904859,apron-fonts-browser,20,365
1030568602955576031,Connect 4,631,738
991438050654881175,Makers • From Figma to Site,535,696
1034885751490120582,闇鍋,8,8
1032966286384619512,Pages,101,111
1040224883212127420,test,1,1
1019286695497894467,Nexus Brand Switcher,34,666
824407127671340098,Bunch description change,2873,107328
843248077507763656,Find and Replace,680,20868
817122029467828220,Flows,16527,496524
861623210715693719,FigPug Profile Generator,3238,106712
864400330625724567,Easy Flow Lines,326,8027
870191885836440905,PixelsConvert,4785,141226
875075070670083374,Chord,12,215
888356646278934516,Design Tokens,19782,687046
895980221418354054,User Generator,7387,235794
889054981737071964,Simple TextBox,6,88
887658623177502392,Instant Website (Beta),7,180
895607663583050928,Color Themes,1,20
903683083548634023,Test test test (Figma to Teams),5,142
904701488382119252,Fix Overrides,7,316
882869184001175282,XUI,98,2428
918207898889629637,Make Ollie moment,1,24
894949134451172235,Design Process,1,29
967109433905459370,Icons Finder,46,1573
934488390903229021,Typoscale,18,324
928121675673441556,Doom Figma,4219,183394
943530325801936954,QtBridge for Figma,4,177
938640455545432833,Textract,31,739
956646029952472926,Head Start,933,38891
961091183292849274,iZip64,58,3026
943829046375157898,DOCX Viewer,909,35044
962376294870422102,YouTube Diffuse Gradients,72,1952
990026124251578367,downloadPNG,679,20329
994605843768348008,Figma to NewsKit,7,143
986860048472454117,Wantedly Preflight,91,3467
968896241000659715,UX Writer,35,466
1013391800762935476,leonardo-converter,496,9378
1007875900682075922,UI2Flutter,6,249
1015687779140509981,Insert Big Image,1,37
1016243269511956141,Sizze - Figma to React Native,649,10127
1015694044431887659,Text Utilities,1,36
1027585966439782000,Vitamine,6,46
1032477479527919033,Discovery Asset Importer,26,32
1017464036112800781,Pikaso,704,13729
1016775617158948031,@sposhe/reorder,114,1650
1014963031291945550,Verso Decorations,7,192
1014541589866306695,A Replacer,135,1039
1021751059380800359,Snap To Retina,9,97
1025557624095999848,Design Status,2,73
1029714108152253994,Start new Sprint,5,64
1030625044888328975,Intuit Design System,290,254
1035974771021574312,Turo Design Lint,17,18
1037616212525799012,Color Fixer,153,66
1035187760094814464,AEUX,3,3
941875443952168672,Windows Color Flow,101,3234
917914510168637203,Keyboard Doodler,1881,59860
1029886180069182307,Donut: Creative Warmups and Icebreakers,1032,1279
957413075189140620,EA Content Concierge,1,40
968496301201445482,👾 Strange Components,14,454
987294632651817123,Editor X,529,12859
1008454173747444631,Critique Copilot,3,74
963366672173284192,Arco Finder,150,3580
1009757221230465235,Rethemer,10,99
1011512061726401104,Sessions,423,9381
1027413532986522043,Selection Variants,946,1187
731599851499883985,GetThatViz,11,350
732773762837487095,Figma Walker,13376,452852
734548932196004433,Paddet,10180,370721
738791203005929386,Add numbers to texts,7103,251314
739503328703046360,Humaaans for Figma,73487,2350475
738806869514947558,Tailwind CSS,19517,860184
937348794236863876,Looker Charts,60,1566
745619465174154496,Get Waves,115731,3741058
763509856531552800,Toggle Slices,3,62
763544170659911201,Exonym,70,1934
740556241021336678,Pattern Hero,59388,1977338
758437952163312752,PDS Style Linter,20,580
740628635110657174,Uniform Token Generator,21,622
744241811687328789,Twemoji Updater,16,509
767379264700569551,Distribute Layers,1815,71275
778881490330634603,Reverse Layers,1292,52333
777287184344500379,Flowkit,35206,1142923
766539251576612716,Color References,3,98
781208362060364436,Table Paste,17392,545961
782713260363070260,Advanced SVG Export,9929,362824
755467873814160138,type.today screen shooter,2452,100271
799264059516370366,Ratio Resizer,3164,106884
821138713091291738,ULT · React Component Builder,2983,125221
807925991544813159,fromCSS,2663,107174
775050292398499694,LPL Library Linker,3,123
773875667263247070,Snap to Grid,5799,223056
877506121708201831,Titan,7,214
796757824029095071,Asurion Themer,21,593
